,airport_code,airport_name,city,coordinates,timezone
80,KLF,"{""en"": ""Grabtsevo Airport"", ""ru"": ""Калуга""}","{""en"": ""Kaluga"", ""ru"": ""Калуга""}","(36.3666687012,54.5499992371)",Europe/Moscow
81,RGK,"{""en"": ""Gorno-Altaysk Airport"", ""ru"": ""Горно-Алтайск""}","{""en"": ""Gorno-Altaysk"", ""ru"": ""Горно-Алтайск""}","(85.8332977295,51.9667015076)",Asia/Krasnoyarsk
82,KRR,"{""en"": ""Krasnodar Pashkovsky International Airport"", ""ru"": ""Краснодар""}","{""en"": ""Krasnodar"", ""ru"": ""Краснодар""}","(39.170501708984,45.034698486328)",Europe/Moscow
83,MCX,"{""en"": ""Uytash Airport"", ""ru"": ""Уйташ""}","{""en"": ""Makhachkala"", ""ru"": ""Махачкала""}","(47.65230178833008,42.81679916381836)",Europe/Moscow
84,KZN,"{""en"": ""Kazan International Airport"", ""ru"": ""Казань""}","{""en"": ""Kazan"", ""ru"": ""Казань""}","(49.278701782227,55.606201171875)",Europe/Moscow
85,REN,"{""en"": ""Orenburg Central Airport"", ""ru"": ""Оренбург-Центральный""}","{""en"": ""Orenburg"", ""ru"": ""Оренбург""}","(55.45669937133789,51.795799255371094)",Asia/Yekaterinburg
86,UFA,"{""en"": ""Ufa International Airport"", ""ru"": ""Уфа""}","{""en"": ""Ufa"", ""ru"": ""Уфа""}","(55.874401092529,54.557498931885)",Asia/Yekaterinburg
87,OVB,"{""en"": ""Tolmachevo Airport"", ""ru"": ""Толмачёво""}","{""en"": ""Novosibirsk"", ""ru"": ""Новосибирск""}","(82.650703430176,55.012599945068)",Asia/Novosibirsk
88,CEE,"{""en"": ""Cherepovets Airport"", ""ru"": ""Череповец""}","{""en"": ""Cherepovets"", ""ru"": ""Череповец""}","(38.015800476100004,59.273601532)",Europe/Moscow
89,OMS,"{""en"": ""Omsk Central Airport"", ""ru"": ""Омск-Центральный""}","{""en"": ""Omsk"", ""ru"": ""Омск""}","(73.31050109863281,54.96699905395508)",Asia/Omsk
90,ROV,"{""en"": ""Rostov-on-Don Airport"", ""ru"": ""Ростов-на-Дону""}","{""en"": ""Rostov"", ""ru"": ""Ростов-на-Дону""}","(39.8180999756,47.2582015991)",Europe/Moscow
91,AER,"{""en"": ""Sochi International Airport"", ""ru"": ""Сочи""}","{""en"": ""Sochi"", ""ru"": ""Сочи""}","(39.956600189209,43.449901580811)",Europe/Moscow
92,VOG,"{""en"": ""Volgograd International Airport"", ""ru"": ""Гумрак""}","{""en"": ""Volgograd"", ""ru"": ""Волгоград""}","(44.34550094604492,48.782501220703125)",Europe/Volgograd
93,BQS,"{""en"": ""Ignatyevo Airport"", ""ru"": ""Игнатьево""}","{""en"": ""Blagoveschensk"", ""ru"": ""Благовещенск""}","(127.41200256347656,50.42539978027344)",Asia/Yakutsk
94,GDX,"{""en"": ""Sokol Airport"", ""ru"": ""Магадан""}","{""en"": ""Magadan"", ""ru"": ""Магадан""}","(150.72000122070312,59.9109992980957)",Asia/Magadan
95,HTA,"{""en"": ""Chita-Kadala Airport"", ""ru"": ""Чита""}","{""en"": ""Chita"", ""ru"": ""Чита""}","(113.306,52.026299)",Asia/Chita
96,BTK,"{""en"": ""Bratsk Airport"", ""ru"": ""Братск""}","{""en"": ""Bratsk"", ""ru"": ""Братск""}","(101.697998046875,56.370601654052734)",Asia/Irkutsk
97,IKT,"{""en"": ""Irkutsk Airport"", ""ru"": ""Иркутск""}","{""en"": ""Irkutsk"", ""ru"": ""Иркутск""}","(104.38899993896,52.268001556396)",Asia/Irkutsk
98,UUD,"{""en"": ""Ulan-Ude Airport (Mukhino)"", ""ru"": ""Байкал""}","{""en"": ""Ulan-ude"", ""ru"": ""Улан-Удэ""}","(107.43800354003906,51.80780029296875)",Asia/Irkutsk
99,MMK,"{""en"": ""Murmansk Airport"", ""ru"": ""Мурманск""}","{""en"": ""Murmansk"", ""ru"": ""Мурманск""}","(32.75080108642578,68.78170013427734)",Europe/Moscow
100,ABA,"{""en"": ""Abakan Airport"", ""ru"": ""Абакан""}","{""en"": ""Abakan"", ""ru"": ""Абакан""}","(91.38500213623047,53.7400016784668)",Asia/Krasnoyarsk
101,BAX,"{""en"": ""Barnaul Airport"", ""ru"": ""Барнаул""}","{""en"": ""Barnaul"", ""ru"": ""Барнаул""}","(83.53849792480469,53.363800048828125)",Asia/Krasnoyarsk
102,AAQ,"{""en"": ""Anapa Vityazevo Airport"", ""ru"": ""Витязево""}","{""en"": ""Anapa"", ""ru"": ""Анапа""}","(37.347301483154,45.002101898193)",Europe/Moscow
103,CNN,"{""en"": ""Chulman Airport"", ""ru"": ""Чульман""}","{""en"": ""Neryungri"", ""ru"": ""Нерюнгри""}","(124.91400146484,56.913898468018)",Asia/Yakutsk
